Rules: ['delaygo']
  Input size 20, Output size 3
Using CUDA...
MultiPlastic Net:
  output neurons: 3
  Act: tanh

=== Layer Universal Setup ===
  MP Layer0 parameters:
    n_neurons - input: 20, output: 100
    M matrix parameters:    update bounds - Max mult: 1.0, Min mult: -1.0
      type: mult // Update - type: hebb_assoc // Act fn: linear
      Eta: scalar (train) // Lambda: scalar (train) // Lambda_max: 0.90 (tau: 4.0e+02)
Train parameters:
  Loss: MSE // LR: 1.00e-03 // Optim: adam
  Grad type: backprop // Gradient clip: 1.0e+01
Weight reg: None
Iter: 0, LR: 1.000e-03 - train_loss:2.717e-01, rounded train_acc:0.774, valid_loss:2.806e-01, rounded valid_acc:0.762
Iter: 100, LR: 1.000e-03 - train_loss:1.497e-01, rounded train_acc:0.963, valid_loss:1.471e-01, rounded valid_acc:0.962
Iter: 200, LR: 1.000e-03 - train_loss:7.143e-02, rounded train_acc:0.970, valid_loss:7.618e-02, rounded valid_acc:0.964
Iter: 300, LR: 1.000e-03 - train_loss:1.046e-02, rounded train_acc:0.991, valid_loss:2.167e-02, rounded valid_acc:0.980
Iter: 400, LR: 1.000e-03 - train_loss:4.910e-03, rounded train_acc:0.996, valid_loss:1.030e-02, rounded valid_acc:0.992
Iter: 500, LR: 1.000e-03 - train_loss:3.320e-03, rounded train_acc:0.997, valid_loss:8.724e-03, rounded valid_acc:0.993
Iter: 600, LR: 1.000e-03 - train_loss:2.390e-03, rounded train_acc:0.997, valid_loss:7.656e-03, rounded valid_acc:0.993
Iter: 700, LR: 1.000e-03 - train_loss:1.865e-03, rounded train_acc:0.997, valid_loss:6.786e-03, rounded valid_acc:0.992
Iter: 800, LR: 1.000e-03 - train_loss:3.692e-03, rounded train_acc:0.994, valid_loss:4.874e-03, rounded valid_acc:0.989
Iter: 900, LR: 1.000e-03 - train_loss:2.010e-03, rounded train_acc:0.997, valid_loss:4.354e-03, rounded valid_acc:0.994
Iter: 1000, LR: 1.000e-03 - train_loss:1.624e-03, rounded train_acc:0.998, valid_loss:4.032e-03, rounded valid_acc:0.994
Iter: 1100, LR: 1.000e-03 - train_loss:1.384e-03, rounded train_acc:0.998, valid_loss:3.865e-03, rounded valid_acc:0.994
Iter: 1200, LR: 1.000e-03 - train_loss:1.220e-03, rounded train_acc:0.998, valid_loss:3.712e-03, rounded valid_acc:0.995
Iter: 1300, LR: 1.000e-03 - train_loss:1.098e-03, rounded train_acc:0.998, valid_loss:3.368e-03, rounded valid_acc:0.995
Iter: 1400, LR: 1.000e-03 - train_loss:9.979e-04, rounded train_acc:0.999, valid_loss:3.309e-03, rounded valid_acc:0.996
Iter: 1500, LR: 1.000e-03 - train_loss:9.217e-04, rounded train_acc:0.999, valid_loss:3.235e-03, rounded valid_acc:0.996
Iter: 1600, LR: 1.000e-03 - train_loss:9.536e-03, rounded train_acc:0.992, valid_loss:1.128e-02, rounded valid_acc:0.992
Iter: 1700, LR: 1.000e-03 - train_loss:9.161e-03, rounded train_acc:0.992, valid_loss:1.191e-02, rounded valid_acc:0.994
Iter: 1800, LR: 1.000e-03 - train_loss:3.500e-03, rounded train_acc:0.998, valid_loss:1.032e-02, rounded valid_acc:0.995
Iter: 1900, LR: 1.000e-03 - train_loss:2.524e-03, rounded train_acc:0.998, valid_loss:1.046e-02, rounded valid_acc:0.994
Iter: 2000, LR: 1.000e-03 - train_loss:1.759e-03, rounded train_acc:0.998, valid_loss:9.649e-03, rounded valid_acc:0.994
Iter: 2100, LR: 1.000e-03 - train_loss:2.072e-03, rounded train_acc:0.999, valid_loss:9.295e-03, rounded valid_acc:0.996
Iter: 2200, LR: 1.000e-03 - train_loss:1.329e-03, rounded train_acc:0.998, valid_loss:9.041e-03, rounded valid_acc:0.994
Iter: 2300, LR: 1.000e-03 - train_loss:3.383e-03, rounded train_acc:0.993, valid_loss:6.271e-03, rounded valid_acc:0.987
Iter: 2400, LR: 1.000e-03 - train_loss:1.497e-03, rounded train_acc:0.998, valid_loss:6.561e-03, rounded valid_acc:0.992
